component_number,y,x,mjd,flux,freq,is_core
0,1.31983171039792E-08,7.94903578694831E-08,56785,1.22886,4979875000,True
1,-6.83906969771673E-08,-9.93975471622376E-08,56785,0.682763,4979875000,False
2,1.70868371577334E-07,4.71992926589344E-07,56785,0.331759,4979875000,False
3,2.57956435808801E-07,6.64549080676211E-07,56785,0.142548,4979875000,False
4,4.50763831978791E-07,1.1342577787452E-06,56785,0.0764324,4979875000,False
5,7.32825837389707E-07,1.4379600703555E-06,56785,0.08894,4979875000,False
6,8.87710898035649E-07,1.67325239698282E-06,56785,0.226933,4979875000,False
7,1.00004446557502E-06,2.20109251878595E-06,56785,0.116802,4979875000,False
8,1.63835793427199E-06,3.64396373797167E-06,56785,0.0160785,4979875000,False
9,2.9928879994349E-06,5.66522392070766E-06,56785,0.0132458,4979875000,False
0,2.27240970552714E-08,4.98150873143239E-08,56785,0.969988,8415875000,True
1,2.97852476807382E-08,7.71670143560372E-08,56785,1.27489,8415875000,False
10,-8.21811523047634E-08,-1.60692863575476E-07,56785,0.806263,8415875000,False
11,1.51970099214097E-07,3.95600501662393E-07,56785,0.103744,8415875000,False
12,2.24241909884758E-07,5.50682769515589E-07,56785,0.259441,8415875000,False
13,4.07287846465906E-07,1.00302901149416E-06,56785,0.0548275,8415875000,False
14,6.38106099185354E-07,1.35089403972352E-06,56785,0.0654952,8415875000,False
15,8.752577432137E-07,1.55978663608359E-06,56785,0.122485,8415875000,False
6,9.29305993007841E-07,1.79843287367441E-06,56785,0.0920293,8415875000,False
7,1.03032277646536E-06,2.28345261148993E-06,56785,0.0630721,8415875000,False
8,1.68313750921485E-06,3.59069904191954E-06,56785,0.0073213,8415875000,False
0,-5.64912961615682E-09,7.32891778101849E-10,56785,0.883754,15247875000,True
16,-4.27330670070333E-08,-6.85068714331279E-08,56785,0.494082,15247875000,False
17,3.73525097885441E-08,7.37198665986577E-08,56785,0.557368,15247875000,False
18,9.23348976145248E-08,1.97285973348452E-07,56785,0.993431,15247875000,False
19,1.21693341135766E-07,2.74643809036434E-07,56785,0.113572,15247875000,False
20,2.50253879957536E-07,6.32404502101004E-07,56785,0.139443,15247875000,False
21,3.22037290188846E-07,7.26790366701845E-07,56785,0.0831183,15247875000,False
14,5.38175471109591E-07,1.3033607222469E-06,56785,0.0384709,15247875000,False
15,8.2792043897873E-07,1.62562877432524E-06,56785,0.0522787,15247875000,False
22,9.95306813138349E-07,1.75430182956343E-06,56785,0.0554759,15247875000,False
7,1.05051192689265E-06,2.20117839838704E-06,56785,0.061804,15247875000,False
0,-5.30618328469311E-09,1.06761335519464E-08,56785,0.68699,21887875000,True
23,2.65490145571049E-08,2.67620897258447E-08,56785,0.376845,21887875000,False
24,2.48466482601173E-08,7.51442814486607E-08,56785,0.513244,21887875000,False
25,6.32799590902051E-08,1.21089721007986E-07,56785,0.467384,21887875000,False
18,1.19740892414756E-07,2.56183729618146E-07,56785,0.905835,21887875000,False
26,1.55750967409618E-07,3.66735850892683E-07,56785,0.0404544,21887875000,False
20,2.84349562528618E-07,6.81228495459412E-07,56785,0.115916,21887875000,False
27,3.36529048476475E-07,7.93274646012859E-07,56785,0.049269,21887875000,False
14,5.60079243900249E-07,1.29631469623052E-06,56785,0.0256835,21887875000,False
28,9.34001226256197E-07,1.77340362438361E-06,56785,0.0792345,21887875000,False
7,1.13595124707852E-06,2.26058259221734E-06,56785,0.0335094,21887875000,False
0,-9.78298829127145E-10,4.40227496249075E-09,56785,0.979608,43787875000,True
29,-5.46807763043649E-09,-2.29064740201207E-08,56785,0.291398,43787875000,False
30,2.04301392186886E-08,3.26639688300474E-08,56785,0.2477,43787875000,False
31,5.16321492985538E-08,9.6798020202181E-08,56785,0.281729,43787875000,False
32,8.98229807904883E-08,1.42399355542874E-07,56785,0.187473,43787875000,False
33,1.26650845185171E-07,2.45523441158688E-07,56785,0.160708,43787875000,False
18,1.53538334131282E-07,2.90067917265204E-07,56785,0.422505,43787875000,False
20,3.02247665197271E-07,6.94088203294252E-07,56785,0.053068,43787875000,False
27,3.6880770881343E-07,8.11431649891735E-07,56785,0.0282204,43787875000,False
0,4.23125745353538E-09,1.3311068951728E-09,56785,0.874371,87551875000,True
34,2.54381265422566E-08,6.45322008226912E-08,56785,0.0772428,87551875000,False
35,6.63824026102719E-08,1.22129489473249E-07,56785,0.100018,87551875000,False
36,1.5019083294625E-07,2.82300256482389E-07,56785,0.138218,87551875000,False
